title,year,genres,critics_score,audience_score
The Ring,1998,"['Horror', 'Mystery & Thriller']",98.0,81.0
The Brutalist,2024,['Drama'],93.0,80.0
The Voyeurs,2021,['Mystery & Thriller'],45.0,46.0
Bridget Jones: Mad About the Boy,2025,"['Romance', 'Comedy']",88.0,73.0
The Man in My Basement,2025,['Mystery & Thriller'],40.0,26.0
The Hand That Rocks the Cradle,1992,['Mystery & Thriller'],67.0,62.0
The Cost,2023,"['Drama', 'Mystery & Thriller', 'Crime']",83.0,91.0
The Empty Man,2020,"['Horror', 'Mystery & Thriller']",73.0,61.0
The Predator,2018,"['Sci-Fi', 'Action', 'Adventure', 'Horror']",34.0,32.0
The Threesome,2025,"['Romance', 'Comedy', 'Drama']",78.0,71.0
The Purge: Anarchy,2014,"['Action', 'Mystery & Thriller', 'Horror', 'Adventure']",58.0,56.0
The Village,2004,['Mystery & Thriller'],43.0,57.0
Halloween III: Season of the Witch,1982,"['Holiday', 'Horror', 'Mystery & Thriller', 'Sci-Fi']",48.0,31.0
Winnie-the-Pooh: Blood and Honey,2023,['Horror'],3.0,49.0
Interview With the Vampire,1994,"['Horror', 'Drama', 'Romance']",65.0,86.0
The Lord of the Rings: The Fellowship of the Ring,2001,"['Fantasy', 'Adventure']",92.0,95.0
The Idea of You,2024,"['Romance', 'Drama', 'Comedy']",80.0,67.0
The Strangers,2008,"['Horror', 'Mystery & Thriller']",50.0,48.0
The Wrong Paris,2025,"['Romance', 'Comedy']",67.0,61.0
The Purge,2013,"['Mystery & Thriller', 'Horror']",41.0,36.0
The Conjuring 2,2016,"['Horror', 'Mystery & Thriller']",80.0,82.0
The Life List,2025,"['Drama', 'Comedy', 'Romance']",48.0,71.0
Roald Dahl's The Witches,2020,"['Fantasy', 'Adventure', 'Comedy']",50.0,32.0
The Hangover,2009,['Comedy'],79.0,84.0
The Sixth Sense,1999,['Mystery & Thriller'],86.0,90.0
The Lobster,2015,"['Romance', 'Comedy', 'Fantasy', 'Drama', 'Sci-Fi']",87.0,65.0
Grave of the Fireflies,1988,"['Drama', 'War', 'Anime']",100.0,95.0
The Power of the Dog,2021,"['Western', 'Drama', 'Romance']",94.0,76.0
The Loved Ones,2009,"['Horror', 'Mystery & Thriller']",98.0,73.0
The Invitation,2015,"['Mystery & Thriller', 'Drama']",90.0,69.0
How the Grinch Stole Christmas,2000,"['Kids & Family', 'Holiday', 'Fantasy', 'Comedy']",49.0,59.0
The Killing of a Sacred Deer,2017,"['Mystery & Thriller', 'Horror']",79.0,63.0
Woman of the Hour,2023,"['Crime', 'Drama', 'Mystery & Thriller']",91.0,68.0
The Rocky Horror Picture Show,1975,"['Musical', 'Comedy']",81.0,85.0
The Shawshank Redemption,1994,['Drama'],89.0,98.0
The Handmaiden,2016,"['Mystery & Thriller', 'Drama', 'Romance']",96.0,91.0
The Favourite,2018,"['Comedy', 'Drama']",93.0,71.0
The Dark and the Wicked,2020,"['Horror', 'Mystery & Thriller']",91.0,62.0
The Dark Knight,2008,"['Action', 'Adventure', 'Fantasy']",94.0,94.0
The Hurt Locker,2008,"['War', 'Drama', 'Mystery & Thriller', 'Action']",96.0,84.0
Killers of the Flower Moon,2023,"['Crime', 'Drama']",93.0,84.0
The Nun,2018,"['Horror', 'Mystery & Thriller']",24.0,35.0
Back to the Future Part II,1989,"['Comedy', 'Sci-Fi', 'Fantasy', 'Adventure']",63.0,86.0
The Conjuring: The Devil Made Me Do It,2021,"['Horror', 'Mystery & Thriller']",56.0,83.0
The Autopsy of Jane Doe,2016,"['Horror', 'Mystery & Thriller']",86.0,72.0
The Notebook,2004,"['Romance', 'Drama']",54.0,85.0
The Endless,2017,"['Horror', 'Sci-Fi', 'Mystery & Thriller']",91.0,67.0
The Wrath of Becky,2023,"['Action', 'Mystery & Thriller', 'Horror']",89.0,77.0
The Devil's Bath,2024,"['Horror', 'Drama']",91.0,62.0
The Gentlemen,2019,"['Crime', 'Drama', 'Comedy']",76.0,84.0
The Wolf of Wall Street,2013,"['Comedy', 'Drama', 'Biography']",79.0,83.0
The Surfer,2024,"['Mystery & Thriller', 'Drama']",84.0,46.0
The Pledge,2001,"['Crime', 'Drama', 'Mystery & Thriller']",78.0,59.0
Friday the 13th,1980,['Horror'],68.0,60.0
The Greatest Showman,2017,"['Musical', 'Biography', 'History', 'Drama']",56.0,86.0
Shaun of the Dead,2004,"['Comedy', 'Horror']",92.0,93.0
Where the Crawdads Sing,2022,"['Drama', 'Mystery & Thriller']",34.0,96.0
The Man From U.N.C.L.E.,2015,"['Action', 'Adventure', 'Comedy']",68.0,73.0
The Martian,2015,"['Sci-Fi', 'Adventure', 'Drama']",91.0,91.0
The Assessment,2024,"['Sci-Fi', 'Mystery & Thriller', 'Drama']",84.0,92.0
The Marvels,2023,"['Action', 'Adventure', 'Fantasy']",63.0,79.0
Kraven the Hunter,2024,"['Action', 'Adventure']",15.0,72.0
The Blair Witch Project,1999,"['Horror', 'Mystery & Thriller']",86.0,57.0
The Blackening,2022,"['Comedy', 'Horror']",87.0,85.0
The Mummy,1999,"['Adventure', 'Action', 'Fantasy']",63.0,75.0
The Wild Robot,2024,"['Kids & Family', 'Adventure', 'Animation']",97.0,98.0
The Accountant 2,2025,"['Action', 'Mystery & Thriller']",75.0,92.0
The Dead Don't Die,2019,"['Comedy', 'Horror']",55.0,38.0
The Nun II,2023,"['Horror', 'Mystery & Thriller']",51.0,72.0
Avatar: The Way of Water,2022,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",76.0,92.0
The Mummy,2017,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Drama']",15.0,35.0
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"['Action', 'Adventure', 'Sci-Fi']",64.0,89.0
The Ring,2002,"['Horror', 'Mystery & Thriller']",72.0,48.0
Leave the World Behind,2023,"['Mystery & Thriller', 'Drama']",73.0,36.0
The First Omen,2024,"['Horror', 'Mystery & Thriller']",83.0,69.0
The Lighthouse,2019,"['Mystery & Thriller', 'Drama']",90.0,72.0
The Addams Family,1991,['Comedy'],68.0,67.0
The Watchers,2024,"['Horror', 'Mystery & Thriller']",32.0,50.0
Guardians of the Galaxy Vol. 3,2023,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy', 'Comedy']",82.0,94.0
The Dark Tower,2017,"['Fantasy', 'Action', 'Adventure']",16.0,44.0
Shang-Chi and the Legend of the Ten Rings,2021,"['Action', 'Adventure', 'Fantasy']",92.0,98.0
The Truman Show,1998,"['Comedy', 'Drama']",94.0,89.0
Spinal Tap II: The End Continues,2025,"['Comedy', 'Music']",66.0,90.0
The Secret Life of Walter Mitty,2013,"['Comedy', 'Adventure', 'Fantasy']",52.0,71.0
Baahubali: The Beginning,2015,"['Action', 'Adventure']",91.0,85.0
The Princess Bride,1987,"['Kids & Family', 'Adventure', 'Comedy']",96.0,94.0
The Boogeyman,2023,"['Horror', 'Mystery & Thriller']",60.0,65.0
The Family Plan,2023,"['Action', 'Comedy']",29.0,60.0
The Wretched,2019,"['Horror', 'Mystery & Thriller']",74.0,47.0
Sonic the Hedgehog 3,2024,"['Kids & Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",86.0,95.0
The Love Witch,2016,"['Horror', 'Comedy', 'Drama']",95.0,61.0
The Great Gatsby,2013,['Drama'],48.0,67.0
The Happening,2008,"['Sci-Fi', 'Mystery & Thriller']",17.0,24.0
Blow the Man Down,2019,"['Comedy', 'Drama']",99.0,74.0
The Stranger,2022,"['Crime', 'Drama', 'Mystery & Thriller']",92.0,74.0
Manchester by the Sea,2016,['Drama'],96.0,78.0
The Surrender,2025,"['Horror', 'Mystery & Thriller', 'Drama']",85.0,48.0
The Friend,2024,"['Drama', 'Comedy']",84.0,80.0
Emily the Criminal,2022,"['Crime', 'Drama', 'Mystery & Thriller']",93.0,79.0
The Wonderful Story of Henry Sugar,2023,"['Comedy', 'Adventure', 'Short']",95.0,81.0
The Map That Leads to You,2025,"['Romance', 'Drama']",38.0,57.0
Night of the Living Dead,1968,['Horror'],95.0,87.0
The Legend of Ochi,2025,"['Kids & Family', 'Sci-Fi', 'Fantasy', 'Action', 'Adventure']",75.0,63.0
The Lost Boys,1987,"['Horror', 'Comedy']",75.0,85.0
The King of Kings,2025,"['Kids & Family', 'Drama', 'Animation']",61.0,97.0
The Host,2006,"['Horror', 'Comedy']",93.0,72.0
The Matrix,1999,"['Sci-Fi', 'Action', 'Mystery & Thriller']",83.0,85.0
The Witches,1990,"['Kids & Family', 'Fantasy', 'Adventure']",94.0,70.0
The Book of Life,2014,"['Kids & Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",82.0,77.0
What We Do in the Shadows,2014,"['Comedy', 'Horror']",96.0,87.0
The Ritual,2025,['Horror'],9.0,47.0
The Way Back,2020,['Drama'],85.0,84.0
The Usual Suspects,1995,"['Mystery & Thriller', 'Crime', 'Drama']",87.0,96.0
The Incredible Hulk,2008,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",68.0,69.0
Apocalypse in the Tropics,2024,"['Documentary', 'History']",90.0,81.0
The Prestige,2006,"['Drama', 'Fantasy', 'Mystery & Thriller']",77.0,92.0
The Penguin Lessons,2024,"['Comedy', 'Drama']",77.0,95.0
The Terminator,1984,"['Sci-Fi', 'Action', 'Mystery & Thriller']",100.0,89.0
The Count of Monte Cristo,2024,"['Adventure', 'Drama', 'Action']",97.0,94.0
The Phantom of the Opera,2004,"['Musical', 'Drama', 'Romance']",32.0,84.0
Harry Potter and the Sorcerer's Stone,2001,"['Kids & Family', 'Fantasy', 'Adventure']",80.0,82.0
The Departed,2006,"['Crime', 'Drama', 'Mystery & Thriller']",91.0,94.0
The Shape of Water,2017,"['Fantasy', 'Romance']",92.0,73.0
The Mask,1994,"['Comedy', 'Action', 'Fantasy']",80.0,68.0
The Wolf of Snow Hollow,2020,"['Horror', 'Mystery & Thriller']",90.0,64.0
The Worst Person in the World,2021,"['Romance', 'Comedy', 'Drama']",96.0,86.0
The King,2019,"['History', 'Drama', 'Biography']",71.0,84.0
Eternal Sunshine of the Spotless Mind,2004,"['Romance', 'Sci-Fi']",93.0,94.0
Maze Runner: The Scorch Trials,2015,"['Sci-Fi', 'Adventure', 'Action', 'Mystery & Thriller']",47.0,54.0
The Accountant,2016,"['Mystery & Thriller', 'Action', 'Crime', 'Drama']",53.0,77.0
Maze Runner: The Death Cure,2018,"['Sci-Fi', 'Adventure', 'Action', 'Mystery & Thriller']",43.0,58.0
All Quiet on the Western Front,2022,"['War', 'History', 'Drama', 'Action']",90.0,90.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"['Adventure', 'Action', 'Fantasy']",79.0,86.0
The Pale Blue Eye,2022,"['Mystery & Thriller', 'Drama']",62.0,69.0
Halloween: The Curse of Michael Myers,1995,"['Holiday', 'Horror']",8.0,36.0
The Lincoln Lawyer,2011,"['Crime', 'Drama', 'Mystery & Thriller']",83.0,82.0
The Craft,1996,['Horror'],57.0,65.0
Friday the 13th,2009,"['Horror', 'Mystery & Thriller']",26.0,47.0
The Killer,2023,"['Mystery & Thriller', 'Drama', 'Action', 'Adventure', 'Crime']",85.0,61.0
The Iron Claw,2023,"['Drama', 'Action', 'Biography', 'Sports']",89.0,94.0
The Crow,2024,"['Action', 'Fantasy', 'Crime']",22.0,62.0
The Alto Knights,2025,"['Crime', 'Drama']",40.0,70.0
The Strangers: Chapter 1,2024,"['Horror', 'Mystery & Thriller']",21.0,45.0
Star Wars: The Last Jedi,2017,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",91.0,41.0
The Night House,2020,"['Horror', 'Mystery & Thriller']",88.0,69.0
The Hangover Part II,2011,['Comedy'],35.0,52.0
The Northman,2022,"['Adventure', 'Action', 'Drama', 'Mystery & Thriller']",90.0,64.0
Guy Ritchie's The Covenant,2023,"['War', 'Drama', 'Action', 'Crime', 'Mystery & Thriller']",82.0,98.0
The Creator,2023,"['Sci-Fi', 'Action', 'Adventure']",67.0,75.0
The Beekeeper,2024,"['Action', 'Mystery & Thriller']",71.0,92.0
Scary Stories to Tell in the Dark,2019,"['Horror', 'Mystery & Thriller', 'Adventure']",78.0,72.0
The Visit,2015,"['Comedy', 'Mystery & Thriller', 'Horror']",68.0,52.0
Dr. Seuss' The Grinch,2018,"['Kids & Family', 'Holiday', 'Comedy', 'Adventure', 'Animation']",60.0,54.0
Star Wars: The Rise of Skywalker,2019,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",51.0,86.0
Venom: The Last Dance,2024,"['Action', 'Adventure', 'Sci-Fi']",40.0,79.0
The Pope's Exorcist,2023,"['Horror', 'Mystery & Thriller']",51.0,80.0
The Fall Guy,2024,"['Action', 'Romance', 'Comedy', 'Drama']",82.0,84.0
Spider-Man: Across the Spider-Verse,2023,"['Kids & Family', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",95.0,95.0
Spider-Man: Into the Spider-Verse,2018,"['Kids & Family', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",97.0,93.0
Knock at the Cabin,2023,"['Mystery & Thriller', 'Drama']",67.0,63.0
The Super Mario Bros. Movie,2023,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",59.0,95.0
Doctor Strange in the Multiverse of Madness,2022,"['Action', 'Adventure', 'Fantasy', 'Horror']",73.0,85.0
The Evil Dead,1981,['Horror'],85.0,84.0
The Goonies,1985,"['Kids & Family', 'Adventure', 'Comedy']",77.0,91.0
The Irishman,2019,"['Crime', 'Drama']",95.0,86.0
The Butterfly Effect,2004,['Mystery & Thriller'],34.0,81.0
The Guilty,2021,"['Mystery & Thriller', 'Crime', 'Drama']",73.0,51.0
The Curious Case of Benjamin Button,2008,"['Fantasy', 'Drama', 'Romance']",72.0,80.0
The Passion of the Christ,2004,['Drama'],49.0,81.0
Save the Green Planet!,2003,"['Comedy', 'Drama', 'Sci-Fi']",88.0,88.0
The Boy and the Heron,2023,"['Fantasy', 'Adventure', 'Anime']",96.0,88.0
The Hangover Part III,2013,['Comedy'],21.0,44.0
The Lover,1992,['Romance'],28.0,79.0
The Woman in Black,2012,"['Horror', 'Mystery & Thriller', 'Drama', 'Fantasy']",66.0,54.0
The Taking of Deborah Logan,2014,['Mystery & Thriller'],92.0,50.0
The Grab,2022,['Documentary'],82.0,92.0
The Lodge,2019,"['Horror', 'Mystery & Thriller']",75.0,51.0
Minding the Gap,2018,['Documentary'],100.0,90.0
Guardians of the Galaxy,2014,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy', 'Comedy']",91.0,92.0
In the Mood for Love,2000,"['Romance', 'Drama']",92.0,94.0
Don't Let's Go to the Dogs Tonight,2024,['Drama'],91.0,84.0
In the Tall Grass,2019,"['Drama', 'Horror']",36.0,33.0
Back to the Future Part III,1990,"['Comedy', 'Sci-Fi', 'Western', 'Fantasy', 'Adventure']",79.0,78.0
Harry Potter and the Deathly Hallows: Part 2,2011,"['Fantasy', 'Adventure', 'Mystery & Thriller']",96.0,89.0
"Salo, or the 120 Days of Sodom",1975,['Drama'],70.0,62.0
The Apprentice,2024,"['Drama', 'Biography']",83.0,84.0
The Wicker Man,1973,"['Mystery & Thriller', 'Horror']",91.0,82.0
The Texas Chainsaw Massacre,2003,['Horror'],37.0,58.0
The Last Rodeo,2025,['Drama'],69.0,95.0
The Rule of Jenny Pen,2024,"['Horror', 'Mystery & Thriller']",71.0,55.0
The Hateful Eight,2015,['Western'],74.0,77.0
The Exorcism of Emily Rose,2005,"['Horror', 'Mystery & Thriller']",46.0,60.0
The Human Centipede,2009,['Horror'],48.0,26.0
The Peanut Butter Falcon,2019,"['Comedy', 'Drama', 'Adventure']",95.0,96.0
The Twilight Saga: New Moon,2009,"['Romance', 'Fantasy']",28.0,61.0
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,"['Fantasy', 'Adventure', 'Action', 'Anime']",98.0,99.0
In the Mouth of Madness,1995,['Horror'],58.0,73.0
In the Lost Lands,2025,"['Fantasy', 'Adventure', 'Action']",24.0,48.0
The Incredibles,2004,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",97.0,75.0
The Flash,2023,"['Action', 'Adventure', 'Fantasy']",63.0,81.0
The Old Guard 2,2025,"['Action', 'Adventure', 'Mystery & Thriller', 'Drama']",27.0,33.0
The Battle of Algiers,1966,"['War', 'History', 'Drama']",99.0,95.0
The Jester,2023,"['Horror', 'Mystery & Thriller']",25.0,26.0
The Platform,2019,"['Sci-Fi', 'Mystery & Thriller']",81.0,73.0
The Omen,1976,"['Horror', 'Mystery & Thriller']",86.0,81.0
The Mist,2007,"['Horror', 'Sci-Fi', 'Mystery & Thriller']",74.0,65.0
The Suicide Squad,2021,"['Action', 'Adventure', 'Comedy']",90.0,82.0
Children of the Corn,1984,"['Horror', 'Mystery & Thriller']",36.0,40.0
The Hills Have Eyes,2006,['Horror'],51.0,58.0
One Cut of the Dead,2017,"['Comedy', 'Horror']",100.0,84.0
Halloween 4: The Return of Michael Myers,1988,"['Holiday', 'Horror']",41.0,54.0
Legends of the Fall,1994,['Drama'],61.0,87.0
Under the Silver Lake,2018,"['Mystery & Thriller', 'Comedy']",58.0,59.0
The Fly,1986,"['Horror', 'Sci-Fi']",94.0,83.0
Dr. Seuss' the Lorax,2012,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",53.0,63.0
Night of the Zoopocalypse,2024,"['Comedy', 'Fantasy', 'Animation', 'Horror', 'Kids & Family']",88.0,82.0
Indiana Jones and the Dial of Destiny,2023,"['Adventure', 'Action']",71.0,87.0
The Gray Man,2022,"['Action', 'Mystery & Thriller']",46.0,90.0
The Book of Eli,2010,"['Adventure', 'Action', 'Drama']",46.0,65.0
Star Wars: Episode I - The Phantom Menace,1999,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",54.0,59.0
The Revenant,2015,"['Adventure', 'Western']",78.0,84.0
The Crow,1994,"['Action', 'Fantasy']",88.0,90.0
The Big Sick,2017,"['Romance', 'Comedy']",98.0,88.0
The Family Stone,2005,"['Holiday', 'Romance', 'Comedy']",52.0,63.0
The Green Knight,2021,"['Fantasy', 'Adventure']",89.0,50.0
The Twilight Saga: Breaking Dawn Part 1,2011,"['Romance', 'Fantasy']",26.0,60.0
The Brothers Grimsby,2016,"['Comedy', 'Action']",37.0,41.0
The Haunted Mansion,2003,"['Kids & Family', 'Comedy', 'Fantasy']",14.0,31.0
Kingdom of the Planet of the Apes,2024,"['Sci-Fi', 'Action', 'Adventure']",80.0,77.0
The Lovely Bones,2009,"['Drama', 'Mystery & Thriller']",31.0,52.0
The Hunger Games,2012,"['Sci-Fi', 'Action', 'Adventure']",84.0,81.0
Ant-Man and The Wasp: Quantumania,2023,"['Action', 'Adventure', 'Fantasy', 'Comedy']",46.0,81.0
Captain America: The Winter Soldier,2014,"['Action', 'Adventure', 'Fantasy']",90.0,92.0
The Purge: Election Year,2016,"['Action', 'Mystery & Thriller', 'Horror']",55.0,48.0
Fly Me to the Moon,2024,"['Romance', 'Comedy', 'Drama', 'History']",66.0,89.0
This Is the End,2013,"['Comedy', 'Fantasy']",82.0,71.0
The Emoji Movie,2017,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",6.0,36.0
The Bikeriders,2023,"['Drama', 'Crime']",79.0,74.0
Star Wars: Episode III -- Revenge of the Sith,2005,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",79.0,66.0
The Big Short,2015,"['Comedy', 'Drama']",89.0,88.0
Captain America: The First Avenger,2011,"['Action', 'Adventure', 'Fantasy']",80.0,75.0
Puss in Boots: The Last Wish,2022,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",95.0,94.0
"The Godfather, Part III",1990,"['Crime', 'Drama']",66.0,68.0
Dr. Seuss' The Cat in the Hat,2003,"['Kids & Family', 'Comedy', 'Fantasy']",10.0,58.0
The Wizard of Oz,1939,"['Kids & Family', 'Fantasy', 'Musical']",98.0,89.0
The Big Lebowski,1998,['Comedy'],79.0,93.0
The Exorcist: Believer,2023,"['Horror', 'Mystery & Thriller']",22.0,57.0
The First Purge,2018,"['Action', 'Mystery & Thriller', 'Horror']",55.0,28.0
E.T. the Extra-Terrestrial,1982,"['Kids & Family', 'Sci-Fi', 'Adventure']",99.0,72.0
Star Wars: The Force Awakens,2015,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",93.0,84.0
"The Godfather, Part II",1974,"['Crime', 'Drama']",96.0,97.0
Godzilla x Kong: The New Empire,2024,"['Sci-Fi', 'Action', 'Adventure']",54.0,89.0
The Bad Guys,2022,"['Kids & Family', 'Comedy', 'Adventure', 'Action', 'Animation']",87.0,93.0
Remember the Titans,2000,['Drama'],72.0,93.0
A HOUSE OF DYNAMITE,2025,"['Mystery & Thriller', 'Drama']",76.0,78.0
The Man From Earth,2007,['Sci-Fi'],100.0,85.0
The Wrestler,2008,['Drama'],99.0,88.0
The Tale of the Princess Kaguya,2013,"['Fantasy', 'Anime']",100.0,90.0
The House That Jack Built,2018,"['Mystery & Thriller', 'Crime', 'Drama']",59.0,65.0
Bambi: The Reckoning,2025,['Horror'],63.0,57.0
The Poughkeepsie Tapes,2007,"['Horror', 'Mystery & Thriller']",50.0,50.0
The Cloverfield Paradox,2018,"['Sci-Fi', 'Mystery & Thriller']",22.0,41.0
Hell House LLC Origins: The Carmichael Manor,2023,['Horror'],88.0,79.0
The Devil's Advocate,1997,"['Mystery & Thriller', 'Fantasy', 'Horror']",65.0,80.0
The Professional,1994,"['Mystery & Thriller', 'Action', 'Crime', 'Drama']",76.0,95.0
The Shrouds,2024,"['Mystery & Thriller', 'Sci-Fi']",75.0,51.0
The Dead Zone,1983,"['Mystery & Thriller', 'Sci-Fi']",89.0,77.0
The Act of Killing,2012,"['Documentary', 'Biography', 'Crime', 'Drama', 'History', 'War']",96.0,85.0
The Hunt,2020,"['Mystery & Thriller', 'Comedy', 'Action']",57.0,66.0
The LEGO Movie,2014,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",96.0,87.0
The Coffee Table,2022,"['Horror', 'Comedy', 'Drama']",89.0,72.0
The Grand Budapest Hotel,2014,"['Comedy', 'Drama']",92.0,87.0
The Pickup,2025,"['Action', 'Comedy', 'Crime']",25.0,36.0
The Whale,2022,['Drama'],64.0,91.0
Charlie and the Chocolate Factory,2005,"['Kids & Family', 'Fantasy', 'Comedy']",83.0,51.0
The Lord of the Rings: The Return of the King,2003,"['Fantasy', 'Adventure']",94.0,86.0
Jujutsu Kaisen 0: The Movie,2021,"['Fantasy', 'Action', 'Adventure', 'Anime']",98.0,98.0
"The Good, the Bad and the Ugly",1966,['Western'],97.0,97.0
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,"['Documentary', 'Music']",99.0,98.0
The Dreamers,2003,"['Drama', 'Romance']",59.0,78.0
The Hobbit: An Unexpected Journey,2012,"['Fantasy', 'Adventure']",64.0,83.0
The Mitchells vs. the Machines,2021,"['Kids & Family', 'Comedy', 'Adventure', 'Animation', 'Action', 'Sci-Fi']",97.0,89.0
Brave the Dark,2023,['Drama'],74.0,94.0
Pirates of the Caribbean: Dead Man's Chest,2006,"['Adventure', 'Action', 'Fantasy']",53.0,72.0
The Guest,2014,"['Action', 'Mystery & Thriller', 'Comedy']",92.0,69.0
Kingsman: The Secret Service,2015,"['Action', 'Adventure', 'Comedy']",75.0,84.0
The A-Team,2010,"['Action', 'Adventure']",48.0,66.0
The Da Vinci Code,2006,"['Mystery & Thriller', 'Drama']",25.0,57.0
Christmas With the Kranks,2004,"['Holiday', 'Comedy']",5.0,39.0
The Dictator,2012,['Comedy'],56.0,45.0
John and the Hole,2020,"['Mystery & Thriller', 'Drama']",60.0,23.0
Murder on the Orient Express,2017,"['Mystery & Thriller', 'Crime', 'Drama']",60.0,54.0
The Master,2012,['Drama'],85.0,62.0
The Polar Express,2004,"['Kids & Family', 'Holiday', 'Fantasy', 'Animation']",55.0,64.0
Scouts Guide to the Zombie Apocalypse,2015,"['Horror', 'Comedy']",44.0,50.0
The Return,2024,"['Adventure', 'Drama']",78.0,76.0
Dawn of the Dead,2004,['Horror'],77.0,77.0
The Seed of the Sacred Fig,2024,['Drama'],97.0,94.0
The Perks of Being a Wallflower,2012,"['Comedy', 'Drama', 'Romance', 'LGBTQ+']",85.0,89.0
The Equalizer,2014,"['Action', 'Mystery & Thriller']",61.0,77.0
Harry Potter and the Prisoner of Azkaban,2004,"['Kids & Family', 'Fantasy', 'Adventure']",91.0,86.0
On the Waterfront,1954,['Drama'],99.0,95.0
The Cursed,2021,"['Horror', 'Mystery & Thriller']",71.0,54.0
The Banshees of Inisherin,2022,['Comedy'],96.0,75.0
The Devil's Backbone,2001,"['Mystery & Thriller', 'Drama', 'Horror']",93.0,89.0
The Devil All the Time,2020,"['Crime', 'Drama', 'Mystery & Thriller']",65.0,79.0
Thor: The Dark World,2013,"['Action', 'Adventure', 'Fantasy']",67.0,74.0
The Witches of Eastwick,1987,"['Comedy', 'Fantasy']",67.0,62.0
The Forever Purge,2021,"['Action', 'Mystery & Thriller', 'Horror']",48.0,78.0
The Grudge,2004,"['Horror', 'Mystery & Thriller']",41.0,46.0
Springsteen: Deliver Me from Nowhere,2025,"['Biography', 'Drama', 'Music']",59.0,83.0
The Dark Knight Rises,2012,"['Action', 'Adventure', 'Mystery & Thriller', 'Fantasy']",87.0,90.0
The Devil Wears Prada,2006,"['Comedy', 'Drama']",75.0,76.0
The Promised Land,2023,"['History', 'Drama']",97.0,95.0
The Curse of La Llorona,2019,"['Horror', 'Mystery & Thriller']",26.0,35.0
Sweeney Todd: The Demon Barber of Fleet Street,2007,"['Musical', 'Mystery & Thriller', 'Crime', 'Drama']",86.0,81.0
The Wolfman,2010,"['Horror', 'Mystery & Thriller', 'Action']",32.0,33.0
Judas and the Black Messiah,2021,"['History', 'Drama', 'Biography']",96.0,95.0
All the Bright Places,2020,"['Romance', 'Drama']",67.0,62.0
The Last Voyage of the Demeter,2023,['Horror'],50.0,73.0
The Monster,2016,"['Horror', 'Mystery & Thriller', 'Fantasy']",81.0,40.0
The Exorcism,2024,"['Horror', 'Mystery & Thriller']",27.0,36.0
The Mummy: Tomb of the Dragon Emperor,2008,"['Adventure', 'Action', 'Fantasy']",13.0,30.0
The Boondock Saints,1999,"['Crime', 'Drama', 'Mystery & Thriller']",26.0,91.0
The Best Christmas Pageant Ever,2024,"['Kids & Family', 'Holiday', 'Comedy']",92.0,97.0
Scott Pilgrim vs. the World,2010,"['Romance', 'Comedy', 'Action']",83.0,84.0
The Monster Squad,1987,['Horror'],56.0,78.0
The Last Duel,2021,"['History', 'Drama']",85.0,81.0
The Twilight Saga: Breaking Dawn Part 2,2012,"['Romance', 'Fantasy']",49.0,70.0
In the Shadow of the Moon,2019,['Mystery & Thriller'],59.0,50.0
The Thing,2011,"['Horror', 'Sci-Fi', 'Mystery & Thriller']",34.0,43.0
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"['Adventure', 'Action', 'Fantasy']",30.0,60.0
The Spiderwick Chronicles,2008,"['Kids & Family', 'Fantasy', 'Adventure', 'Drama']",81.0,63.0
Transformers: Rise of the Beasts,2023,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",51.0,91.0
The House With a Clock in Its Walls,2018,"['Fantasy', 'Adventure', 'Mystery & Thriller', 'Comedy']",65.0,45.0
The Pursuit of Happyness,2006,['Drama'],67.0,87.0
The Social Network,2010,"['Drama', 'Biography']",96.0,87.0
Mission: Impossible - Dead Reckoning Part One,2023,"['Action', 'Adventure', 'Mystery & Thriller']",96.0,94.0
Rocky IV: Rocky vs. Drago,2021,['Drama'],72.0,93.0
365 Days,2020,"['Drama', 'Romance']",0.0,36.0
