title,year,genres,critics_score,audience_score
The War Room,1993,['Documentary'],96.0,83.0
Porcelain War,2024,"['Documentary', 'War']",96.0,94.0
The War Wagon,1967,['Western'],82.0,77.0
War Game,2024,"['Mystery & Thriller', 'Documentary']",80.0,62.0
The Milagro Beanfield War,1988,"['Comedy', 'Drama']",61.0,74.0
The Silent War,2018,"['Mystery & Thriller', 'War']",56.0,24.0
Uncovered: The Whole Truth About the Iraq War,2004,['Documentary'],100.0,75.0
The Great War,1959,"['Comedy', 'Drama', 'War']",40.0,94.0
War Party,1989,['Action'],0.0,76.0
War of the Buttons,2011,"['Adventure', 'History', 'Drama']",25.0,42.0
War Witch,2012,"['Drama', 'War']",94.0,78.0
The Coming War on China,2016,['Documentary'],88.0,42.0
War Story,2014,['Drama'],57.0,21.0
Kill Chain: The Cyber War on America's Elections,2020,['Documentary'],100.0,96.0
I Was a Male War Bride,1949,['Comedy'],76.0,72.0
Memoir of War,2017,"['History', 'Drama', 'War']",67.0,52.0
War/Dance,2007,['Documentary'],85.0,91.0
The Invisible War,2011,"['Documentary', 'Crime', 'Drama']",99.0,84.0
Bennett's War,2019,['Drama'],50.0,82.0
I Declare War,2012,['Drama'],71.0,53.0
The War Bride,2001,['Drama'],57.0,75.0
Declaration of War,2011,['Drama'],86.0,70.0
Cold War 2,2016,"['Action', 'Crime', 'Drama']",60.0,57.0
The War Within,2005,['Drama'],71.0,64.0
Oil Factor: Behind the War on Terror,2005,[],57.0,83.0
Legend of the Village Warriors,2000,"['War', 'History', 'Drama']",73.0,74.0
Red Alert: The War Within,2010,['Action'],17.0,41.0
War Photographer,2002,['Documentary'],81.0,93.0
Iraq for Sale: The War Profiteers,2006,['Documentary'],100.0,85.0
The Secret War of Harry Frigg,1968,['Comedy'],40.0,43.0
Two Men Went to War,2002,"['Comedy', 'War']",59.0,71.0
Theater of War,2008,['Documentary'],72.0,79.0
The War Show,2016,['Documentary'],100.0,90.0
War on Whistleblowers: Free Press and the National Security State,2013,['Documentary'],60.0,71.0
The Warring States,2011,"['History', 'Drama', 'War']",40.0,46.0
At War,2018,['Drama'],69.0,88.0
War Child,2008,['Documentary'],50.0,79.0
The War Tapes,2006,['Documentary'],98.0,83.0
Day of the Fight,2023,"['Drama', 'Sports']",85.0,94.0
The Day the Earth Stood Still,1951,['Sci-Fi'],95.0,87.0
Day Shift,2022,"['Action', 'Horror', 'Comedy']",57.0,76.0
Day of the Dead,1985,['Horror'],61.0,75.0
The Day the Earth Blew Up: A Looney Tunes Movie,2024,"['Kids & Family', 'Comedy', 'Sci-Fi', 'Adventure', 'Animation']",85.0,88.0
The Day the Earth Stood Still,2008,['Sci-Fi'],21.0,27.0
A Good Day to Be Black & Sexy,2008,"['Drama', 'Romance']",80.0,51.0
Valentine's Day,2010,"['Holiday', 'Romance', 'Comedy', 'LGBTQ+']",17.0,47.0
Mother's Day,2023,"['Drama', 'Mystery & Thriller', 'Action']",50.0,36.0
Independence Day: Resurgence,2016,"['Sci-Fi', 'Action', 'Adventure']",28.0,30.0
A Brighter Summer Day,1991,['Drama'],100.0,94.0
Independence Day,1996,"['Sci-Fi', 'Adventure', 'Action']",69.0,75.0
One Fine Day,1996,"['Romance', 'Comedy', 'Drama']",54.0,66.0
Zero Day,2003,['Drama'],68.0,75.0
The Longest Day,1962,"['War', 'History', 'Drama']",83.0,90.0
The Boondock Saints II: All Saints Day,2009,"['Action', 'Crime', 'Drama', 'Mystery & Thriller']",23.0,58.0
Trouble Every Day,2001,"['Horror', 'Mystery & Thriller']",58.0,53.0
It's Such a Beautiful Day,2012,"['Comedy', 'Drama', 'Animation']",100.0,92.0
A Grand Day Out With Wallace and Gromit,1989,"['Animation', 'Adventure', 'Kids & Family', 'Short']",100.0,88.0
A Day in the Country,1936,['Comedy'],100.0,87.0
365 Days: This Day,2022,"['Drama', 'Romance']",0.0,43.0
Zero Day,2025,"['Drama', 'Mystery & Thriller']",68.0,75.0
The Day of the Triffids,1963,['Sci-Fi'],78.0,51.0
Ferris Bueller's Day Off,1986,['Comedy'],83.0,92.0
Light of Day,1987,['Drama'],53.0,54.0
Training Day,2001,"['Crime', 'Drama', 'Mystery & Thriller']",74.0,89.0
1987: When the Day Comes,2017,"['History', 'Drama']",82.0,65.0
The Cold Light of Day,2012,"['Action', 'Mystery & Thriller']",4.0,28.0
One Day,2011,['Romance'],36.0,50.0
A Hard Day's Night,1964,"['Musical', 'Comedy']",98.0,89.0
Fathers' Day,1997,"['Comedy', 'Drama']",26.0,26.0
Dog Day Afternoon,1975,"['Crime', 'Drama', 'LGBTQ+']",96.0,90.0
The Day After,1983,['Drama'],86.0,69.0
Baby's Day Out,1994,"['Kids & Family', 'Comedy']",25.0,52.0
Bad Day at Black Rock,1955,"['Crime', 'Drama']",97.0,87.0
Yes Day,2021,['Comedy'],52.0,55.0
Knight and Day,2010,"['Action', 'Comedy']",51.0,49.0
The 6th Day,2000,['Sci-Fi'],40.0,33.0
A Rainy Day in New York,2019,['Comedy'],47.0,56.0
A Good Day to Die Hard,2013,"['Action', 'Mystery & Thriller']",15.0,40.0
Flag Day,2021,"['Drama', 'Mystery & Thriller']",40.0,47.0
Long Day's Journey Into Night,2018,"['Mystery & Thriller', 'Drama']",95.0,67.0
The Day After Tomorrow,2004,"['Action', 'Adventure']",45.0,50.0
Labor Day,2013,"['Romance', 'Drama']",34.0,54.0
Sicario: Day of the Soldado,2018,"['Mystery & Thriller', 'Action', 'Crime', 'Drama']",62.0,66.0
Your Lucky Day,2023,"['Mystery & Thriller', 'Action']",90.0,55.0
April Fool's Day,1986,"['Mystery & Thriller', 'Horror']",60.0,48.0
Tremors: A Cold Day in Hell,2018,"['Horror', 'Sci-Fi']",40.0,27.0
All Day and a Night,2020,['Drama'],54.0,59.0
Happy Death Day 2U,2019,"['Horror', 'Mystery & Thriller', 'Comedy']",73.0,60.0
The Day of the Beast,1995,"['Horror', 'Comedy']",77.0,85.0
Day of the Dead,2008,"['Horror', 'Mystery & Thriller']",13.0,22.0
Mother's Day,2010,"['Crime', 'Drama', 'Horror']",42.0,52.0
A Special Day,1977,['Drama'],100.0,91.0
Snow Day,2000,"['Kids & Family', 'Comedy']",29.0,27.0
A Day Without a Mexican,2004,['Comedy'],27.0,39.0
Day of Wrath,1943,['Drama'],100.0,91.0
Daddy Day Care,2003,"['Kids & Family', 'Comedy']",28.0,48.0
The Day of the Jackal,1973,"['Mystery & Thriller', 'Crime', 'Drama']",91.0,88.0
A Perfect Day,2015,"['Comedy', 'Drama']",70.0,57.0
Miss Pettigrew Lives for a Day,2008,"['Romance', 'Comedy', 'Drama']",77.0,71.0
Happy Death Day,2017,"['Horror', 'Mystery & Thriller', 'Comedy']",71.0,67.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,"['Kids & Family', 'Comedy']",62.0,58.0
Founders Day,2023,"['Horror', 'Mystery & Thriller', 'Comedy']",50.0,12.0
Every Day,2018,"['Romance', 'Fantasy', 'Drama']",64.0,54.0
The Remains of the Day,1993,['Drama'],96.0,89.0
Terminator 2: Judgment Day,1991,"['Sci-Fi', 'Action', 'Mystery & Thriller']",91.0,95.0
A Beautiful Day in the Neighborhood,2019,"['Biography', 'Drama']",95.0,92.0
Girlfriend's Day,2017,['Comedy'],50.0,37.0
Die Another Day,2002,"['Action', 'Adventure', 'Mystery & Thriller']",56.0,41.0
On a Clear Day You Can See Forever,1970,"['Musical', 'Comedy']",100.0,75.0
Groundhog Day,1993,"['Romance', 'Comedy']",94.0,88.0
Patriots Day,2016,"['Crime', 'Drama', 'Mystery & Thriller']",80.0,86.0
Day of the Dead: Bloodline,2018,['Horror'],11.0,10.0
Daddy Day Camp,2007,"['Kids & Family', 'Comedy']",1.0,37.0
A Quiet Place: Day One,2024,"['Horror', 'Sci-Fi', 'Mystery & Thriller']",86.0,72.0
Mother's Day,2016,"['Comedy', 'Drama', 'Romance']",8.0,44.0
Draft Day,2014,['Drama'],60.0,65.0
Eternity and a Day,1998,['Drama'],95.0,93.0
A Day,2017,"['Drama', 'Mystery & Thriller']",100.0,74.0
The Happiest Day in the Life of Olli Mäki,2016,['Drama'],98.0,76.0
Day Watch,2006,['Fantasy'],62.0,68.0
Days of Wrath,2008,['Drama'],100.0,79.0
"Michael Bolton's Big, Sexy Valentine's Day Special",2017,[],100.0,60.0
The Day Reagan Was Shot,2001,['Drama'],60.0,70.0
Australia Day,2017,['Drama'],50.0,49.0
The Long Day Closes,1992,['Drama'],82.0,77.0
SUGA: Road to D-Day,2023,"['Documentary', 'Music']",80.0,93.0
"Good Day, Ramon",2013,['Drama'],100.0,81.0
The Day the Earth Caught Fire,1961,['Sci-Fi'],86.0,84.0
That Cold Day in the Park,1969,['Drama'],50.0,49.0
The Day,2011,['Horror'],31.0,28.0
A Hard Day,2014,"['Mystery & Thriller', 'Action']",82.0,77.0
Any Day Now,2012,"['Drama', 'LGBTQ+']",78.0,76.0
Universal Soldier: Day of Reckoning,2012,"['Action', 'Sci-Fi']",57.0,34.0
A Day and a Half,2023,['Mystery & Thriller'],83.0,56.0
Night of the Following Day,1969,['Mystery & Thriller'],63.0,45.0
The St. Valentine's Day Massacre,1967,"['Crime', 'Drama']",75.0,68.0
Trailer Park Boys: Countdown to Liquor Day,2009,['Comedy'],60.0,70.0
Day Zero,2007,['Drama'],24.0,45.0
Boxing Day,2021,"['Romance', 'Comedy']",83.0,86.0
Any Day,2015,['Drama'],0.0,26.0
A Day at the Races,1937,['Comedy'],95.0,89.0
4:44 Last Day on Earth,2011,"['Drama', 'Fantasy', 'Sci-Fi']",48.0,19.0
Another Day of Life,2018,"['Biography', 'Animation']",89.0,89.0
Graduation Day,1981,['Horror'],57.0,19.0
Long Day's Journey Into Night,1962,['Drama'],95.0,85.0
Went the Day Well?,1942,['Drama'],93.0,90.0
Porky's II: The Next Day,1983,['Comedy'],10.0,40.0
At the End of the Day,2018,"['Comedy', 'Drama', 'LGBTQ+']",100.0,72.0
Bad Day for the Cut,2017,['Mystery & Thriller'],92.0,74.0
Another Day in Paradise,1999,['Drama'],57.0,62.0
"A White, White Day",2019,['Drama'],94.0,68.0
On the Seventh Day,2017,['Drama'],100.0,62.0
Mother's Day,1980,['Horror'],46.0,38.0
The Day the Music Died: The Story of Don McLean's American Pie,2022,"['Documentary', 'Music']",70.0,71.0
Night and Day,1946,"['Musical', 'LGBTQ+']",60.0,41.0
One Day in September,1999,['Documentary'],97.0,92.0
Redemption Day,2021,"['Action', 'Mystery & Thriller']",14.0,49.0
One Day as a Lion,2023,"['Crime', 'Drama', 'Comedy']",60.0,47.0
The Day of the Dolphin,1973,"['Mystery & Thriller', 'Adventure']",44.0,42.0
The Seventh Day,2021,['Horror'],13.0,17.0
Lady for a Day,1933,"['Comedy', 'Drama']",100.0,79.0
